number of trees,accuracy, precision, recall, f1
10, 0.8870, 0.8533, 0.9471, 0.8977,

20, 0.8891, 0.8565, 0.9467, 0.8993,

30, 0.8891, 0.8568, 0.9462, 0.8993,

40, 0.8896, 0.8576, 0.9463, 0.8997,

50, 0.8896, 0.8576, 0.9462, 0.8997,

60, 0.8900, 0.8581, 0.9463, 0.9001,

70, 0.8897, 0.8577, 0.9463, 0.8998,

80, 0.8898, 0.8578, 0.9463, 0.8999,

90, 0.8900, 0.8581, 0.9463, 0.9000,

100, 0.8901, 0.8581, 0.9464, 0.9001,



